Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Appointment,Chrome 146.0.7680.165,,,28-03-2026 17:17:18,28-03-2026 17:19:04,"1m - 46,222s",PASSED
,,,,,,,
Test Cases/Login,Chrome 146.0.7680.165,,,28-03-2026 17:17:18,28-03-2026 17:17:30,"11,966s",PASSED
"DATA BINDING - {""Username"":""John Doe"",""Password"":""ThisIsNotAPassword""}",,,,,,,
"openBrowser("""")",Chrome 146.0.7680.165,,,28-03-2026 17:17:19,28-03-2026 17:17:21,"1,970s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 146.0.7680.165,,,28-03-2026 17:17:21,28-03-2026 17:17:23,"2,661s",PASSED
"click(findTestObject(""Login/btn_MakeAppointment""))",Chrome 146.0.7680.165,,,28-03-2026 17:17:23,28-03-2026 17:17:24,"0,884s",PASSED
"setText(findTestObject(""Login/txt_Username""), Username)",Chrome 146.0.7680.165,,,28-03-2026 17:17:24,28-03-2026 17:17:25,"0,901s",PASSED
"setText(findTestObject(""Login/txt_Password""), Password)",Chrome 146.0.7680.165,,,28-03-2026 17:17:25,28-03-2026 17:17:26,"0,692s",PASSED
"click(findTestObject(""Login/btn_Login""))",Chrome 146.0.7680.165,,,28-03-2026 17:17:26,28-03-2026 17:17:26,"0,344s",PASSED
"loginSuccess = verifyElementPresent(findTestObject(""Dashboard Page/btn_Book appointment""), 5, OPTIONAL)",Chrome 146.0.7680.165,,,28-03-2026 17:17:26,28-03-2026 17:17:27,"1,040s",PASSED
delay(3),Chrome 146.0.7680.165,,,28-03-2026 17:17:27,28-03-2026 17:17:30,"3,049s",PASSED
if (!(loginSuccess)),Chrome 146.0.7680.165,,,28-03-2026 17:17:30,28-03-2026 17:17:30,"0,001s",PASSED
,,,,,,,
Test Cases/Login,Chrome 146.0.7680.165,,,28-03-2026 17:17:30,28-03-2026 17:17:51,"20,307s",PASSED
"DATA BINDING - {""Username"":""John Doe"",""Password"":""ThisIsNotAPasswo""}",,,,,,,
"openBrowser("""")",Chrome 146.0.7680.165,,,28-03-2026 17:17:30,28-03-2026 17:17:31,"1,056s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 146.0.7680.165,,,28-03-2026 17:17:31,28-03-2026 17:17:34,"2,720s",PASSED
"click(findTestObject(""Login/btn_MakeAppointment""))",Chrome 146.0.7680.165,,,28-03-2026 17:17:34,28-03-2026 17:17:35,"0,742s",PASSED
"setText(findTestObject(""Login/txt_Username""), Username)",Chrome 146.0.7680.165,,,28-03-2026 17:17:35,28-03-2026 17:17:36,"0,971s",PASSED
"setText(findTestObject(""Login/txt_Password""), Password)",Chrome 146.0.7680.165,,,28-03-2026 17:17:36,28-03-2026 17:17:37,"0,721s",PASSED
"click(findTestObject(""Login/btn_Login""))",Chrome 146.0.7680.165,,,28-03-2026 17:17:37,28-03-2026 17:17:37,"0,353s",PASSED
"loginSuccess = verifyElementPresent(findTestObject(""Dashboard Page/btn_Book appointment""), 5, OPTIONAL)",Chrome 146.0.7680.165,,,28-03-2026 17:17:37,28-03-2026 17:17:42,"5,072s",WARNING
delay(3),Chrome 146.0.7680.165,,,28-03-2026 17:17:42,28-03-2026 17:17:45,"3,016s",PASSED
if (!(loginSuccess)),Chrome 146.0.7680.165,,,28-03-2026 17:17:45,28-03-2026 17:17:51,"5,633s",PASSED
,,,,,,,
Test Cases/Login,Chrome 146.0.7680.165,,,28-03-2026 17:17:51,28-03-2026 17:18:01,"10,654s",PASSED
"DATA BINDING - {""Username"":""John Doe"",""Password"":""ThisIsNotAPassword""}",,,,,,,
"openBrowser("""")",Chrome 146.0.7680.165,,,28-03-2026 17:17:51,28-03-2026 17:17:52,"0,919s",PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 146.0.7680.165,,,28-03-2026 17:17:52,28-03-2026 17:17:55,"2,980s",PASSED
"click(findTestObject(""Login/btn_MakeAppointment""))",Chrome 146.0.7680.165,,,28-03-2026 17:17:55,28-03-2026 17:17:55,"0,778s",PASSED
"setText(findTestObject(""Login/txt_Username""), Username)",Chrome 146.0.7680.165,,,28-03-2026 17:17:55,28-03-2026 17:17:56,"0,922s",PASSED
"setText(findTestObject(""Login/txt_Password""), Password)",Chrome 146.0.7680.165,,,28-03-2026 17:17:56,28-03-2026 17:17:57,"0,641s",PASSED
"click(findTestObject(""Login/btn_Login""))",Chrome 146.0.7680.165,,,28-03-2026 17:17:57,28-03-2026 17:17:57,"0,343s",PASSED
"loginSuccess = verifyElementPresent(findTestObject(""Dashboard Page/btn_Book appointment""), 5, OPTIONAL)",Chrome 146.0.7680.165,,,28-03-2026 17:17:57,28-03-2026 17:17:58,"1,037s",PASSED
delay(3),Chrome 146.0.7680.165,,,28-03-2026 17:17:58,28-03-2026 17:18:01,"3,009s",PASSED
if (!(loginSuccess)),Chrome 146.0.7680.165,,,28-03-2026 17:18:01,28-03-2026 17:18:01,"0,001s",PASSED
,,,,,,,
Test Cases/Make Appointment,Chrome 146.0.7680.165,,,28-03-2026 17:18:01,28-03-2026 17:18:17,"15,847s",PASSED
"DATA BINDING - {""Comment"":""OK"",""Visit_Date"":""28/02/2026"",""Healthcare_Prog..."":""None"",""Apply"":""Yes"",""facility"":""Hongkong""}",,,,,,,
